"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1968-Q2","Q2-1968","PC","Percentage","0","Units",,,-3.159851,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1968-Q3","Q3-1968","PC","Percentage","0","Units",,,-3.635895,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1968-Q4","Q4-1968","PC","Percentage","0","Units",,,-2.313625,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1969-Q1","Q1-1969","PC","Percentage","0","Units",,,-2.318001,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1969-Q2","Q2-1969","PC","Percentage","0","Units",,,-2.246928,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1969-Q3","Q3-1969","PC","Percentage","0","Units",,,-1.354708,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1969-Q4","Q4-1969","PC","Percentage","0","Units",,,-1.653075,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1970-Q1","Q1-1970","PC","Percentage","0","Units",,,-1.290461,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1970-Q2","Q2-1970","PC","Percentage","0","Units",,,-1.791632,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1970-Q3","Q3-1970","PC","Percentage","0","Units",,,-1.430188,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1970-Q4","Q4-1970","PC","Percentage","0","Units",,,-1.588908,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1971-Q1","Q1-1971","PC","Percentage","0","Units",,,-2.036839,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1971-Q2","Q2-1971","PC","Percentage","0","Units",,,-1.086439,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1971-Q3","Q3-1971","PC","Percentage","0","Units",,,-0.7612584,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1971-Q4","Q4-1971","PC","Percentage","0","Units",,,-1.328204,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1972-Q1","Q1-1972","PC","Percentage","0","Units",,,-0.1529327,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1972-Q2","Q2-1972","PC","Percentage","0","Units",,,1.204402,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1972-Q3","Q3-1972","PC","Percentage","0","Units",,,1.700564,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1972-Q4","Q4-1972","PC","Percentage","0","Units",,,2.298851,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1973-Q1","Q1-1973","PC","Percentage","0","Units",,,2.032136,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1973-Q2","Q2-1973","PC","Percentage","0","Units",,,1.677449,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1973-Q3","Q3-1973","PC","Percentage","0","Units",,,0.4558405,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1973-Q4","Q4-1973","PC","Percentage","0","Units",,,0.4541811,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1974-Q1","Q1-1974","PC","Percentage","0","Units",,,-1.81302,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1974-Q2","Q2-1974","PC","Percentage","0","Units",,,-3.367153,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1974-Q3","Q3-1974","PC","Percentage","0","Units",,,-3.049654,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1974-Q4","Q4-1974","PC","Percentage","0","Units",,,-2.396872,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1975-Q1","Q1-1975","PC","Percentage","0","Units",,,-0.3333148,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1975-Q2","Q2-1975","PC","Percentage","0","Units",,,0.228359,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1975-Q3","Q3-1975","PC","Percentage","0","Units",,,-0.9947941,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1975-Q4","Q4-1975","PC","Percentage","0","Units",,,-1.755594,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1976-Q1","Q1-1976","PC","Percentage","0","Units",,,-1.760729,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1976-Q2","Q2-1976","PC","Percentage","0","Units",,,-1.00724,,
