"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1981-Q4","Q4-1981","PC","Percentage","0","Units",,,14.95,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1982-Q1","Q1-1982","PC","Percentage","0","Units",,,17.40667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1982-Q2","Q2-1982","PC","Percentage","0","Units",,,19.47,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1982-Q3","Q3-1982","PC","Percentage","0","Units",,,16.64,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1982-Q4","Q4-1982","PC","Percentage","0","Units",,,13.82,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1983-Q1","Q1-1983","PC","Percentage","0","Units",,,13.22667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1983-Q2","Q2-1983","PC","Percentage","0","Units",,,13.43667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1983-Q3","Q3-1983","PC","Percentage","0","Units",,,12.00667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1983-Q4","Q4-1983","PC","Percentage","0","Units",,,10.12667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1984-Q1","Q1-1984","PC","Percentage","0","Units",,,11.85667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1984-Q2","Q2-1984","PC","Percentage","0","Units",,,13.49,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1984-Q3","Q3-1984","PC","Percentage","0","Units",,,11.46333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1984-Q4","Q4-1984","PC","Percentage","0","Units",,,11.59,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1985-Q1","Q1-1985","PC","Percentage","0","Units",,,14.15,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1985-Q2","Q2-1985","PC","Percentage","0","Units",,,15.69,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1985-Q3","Q3-1985","PC","Percentage","0","Units",,,16.05667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1985-Q4","Q4-1985","PC","Percentage","0","Units",,,18.03333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1986-Q1","Q1-1986","PC","Percentage","0","Units",,,17.9,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1986-Q2","Q2-1986","PC","Percentage","0","Units",,,15.05667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1986-Q3","Q3-1986","PC","Percentage","0","Units",,,16.76667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1986-Q4","Q4-1986","PC","Percentage","0","Units",,,16.08333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1987-Q1","Q1-1987","PC","Percentage","0","Units",,,16.32333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1987-Q2","Q2-1987","PC","Percentage","0","Units",,,14.3,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1987-Q3","Q3-1987","PC","Percentage","0","Units",,,12.41,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1987-Q4","Q4-1987","PC","Percentage","0","Units",,,11.96667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1988-Q1","Q1-1988","PC","Percentage","0","Units",,,10.98333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1988-Q2","Q2-1988","PC","Percentage","0","Units",,,12.25667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1988-Q3","Q3-1988","PC","Percentage","0","Units",,,13.34667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1988-Q4","Q4-1988","PC","Percentage","0","Units",,,14.61333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1989-Q1","Q1-1989","PC","Percentage","0","Units",,,16.45,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1989-Q2","Q2-1989","PC","Percentage","0","Units",,,17.78333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1989-Q3","Q3-1989","PC","Percentage","0","Units",,,18.04667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1989-Q4","Q4-1989","PC","Percentage","0","Units",,,18.16667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1990-Q1","Q1-1990","PC","Percentage","0","Units",,,16.45667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1990-Q2","Q2-1990","PC","Percentage","0","Units",,,15.07,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1990-Q3","Q3-1990","PC","Percentage","0","Units",,,14.09,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1990-Q4","Q4-1990","PC","Percentage","0","Units",,,12.55667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1991-Q1","Q1-1991","PC","Percentage","0","Units",,,11.68,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1991-Q2","Q2-1991","PC","Percentage","0","Units",,,10.82333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1991-Q3","Q3-1991","PC","Percentage","0","Units",,,10.01667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1991-Q4","Q4-1991","PC","Percentage","0","Units",,,8.383333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1992-Q1","Q1-1992","PC","Percentage","0","Units",,,7.493333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1992-Q2","Q2-1992","PC","Percentage","0","Units",,,6.72,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1992-Q3","Q3-1992","PC","Percentage","0","Units",,,5.77,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1992-Q4","Q4-1992","PC","Percentage","0","Units",,,5.88,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1993-Q1","Q1-1993","PC","Percentage","0","Units",,,5.693333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1993-Q2","Q2-1993","PC","Percentage","0","Units",,,5.213333,,
