"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1977-Q4",9.35202959258623,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1978-Q1",8.71732671770698,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1978-Q2",7.90451536220409,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1978-Q3",7.82623098511645,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1978-Q4",7.60951990035974,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1979-Q1",8.01200798493722,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1979-Q2",8.74688660915744,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1979-Q3",9.46121225683808,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1979-Q4",10.200570271881,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1980-Q1",10.4392929518929,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1980-Q2",11.03017178361,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1980-Q3",9.90908640950661,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1980-Q4",9.22499224119508,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1981-Q1",9.44077729153216,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1981-Q2",8.45974455002863,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1981-Q3",8.99254563076756,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1981-Q4",11.0125864130159,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1982-Q1",10.7878404045786,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1982-Q2",10.9773653579562,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1982-Q3",12.3818286270279,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1982-Q4",11.2329261933876,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1983-Q1",11.3594153915058,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1983-Q2",11.1660356089918,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1983-Q3",9.12116912493923,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1983-Q4",8.65516949047209,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1984-Q1",5.82483742862449,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1984-Q2",4.00907157588783,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1984-Q3",3.59722512452329,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1984-Q4",2.50931002526691,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1985-Q1",4.4090390437742,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1985-Q2",6.57235284200205,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1985-Q3",7.5444135272504,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1985-Q4",8.3582716388175,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1986-Q1",9.23819701886128,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1986-Q2",8.45134435502274,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1986-Q3",8.81263434765578,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1986-Q4",9.83973864741536,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1987-Q1",9.26433723412414,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1987-Q2",9.25297577348016,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1987-Q3",8.31048218077908,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1987-Q4",7.2072072072072,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1988-Q1",6.84326710816764,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1988-Q2",6.94143167028199,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1988-Q3",7.47863247863236,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1988-Q4",7.56302521008381,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1989-Q1",6.81818181818193,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1989-Q2",7.70791075050688,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1989-Q3",7.95228628230623,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1989-Q4",7.81250000000005,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1990-Q1",8.51063829787241,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1990-Q2",7.53295668549912,
